Date,y
5/22/2019,294250
5/22/2019,94600
5/22/2019,55000
5/22/2019,302500
5/22/2019,49500
5/22/2019,122100
5/22/2019,473550
5/22/2019,68200
5/22/2019,165550
5/22/2019,90750
5/22/2019,91300
5/22/2019,113850
5/22/2019,95150
5/22/2019,75350
5/22/2019,58850
5/22/2019,135850
5/22/2019,89650
5/22/2019,44000
5/22/2019,49500
5/22/2019,66000
5/22/2019,84150
5/22/2019,23100
5/22/2019,60500
5/22/2019,60500
5/22/2019,40150
5/22/2019,106700
5/22/2019,64900
5/22/2019,113300
5/22/2019,179300
5/22/2019,79750
5/22/2019,9350
5/22/2019,125400
5/22/2019,44000
5/22/2019,22000
5/22/2019,74250
5/22/2019,81950
5/22/2019,22000
5/22/2019,84150
5/22/2019,11000
5/22/2019,88000
5/22/2019,74250
5/22/2019,11000
5/22/2019,5500
5/22/2019,11000
5/22/2019,81950
5/23/2019,72600
5/23/2019,37950
5/23/2019,68200
5/23/2019,124300
5/23/2019,39050
5/23/2019,70950
5/23/2019,66000
5/23/2019,115500
5/23/2019,57750
5/23/2019,146300
5/23/2019,98450
5/23/2019,82500
5/23/2019,133650
5/23/2019,49500
5/23/2019,116600
5/23/2019,301950
5/23/2019,22000
5/23/2019,196900
5/23/2019,103950
5/23/2019,138600
5/23/2019,175450
5/23/2019,81950
5/23/2019,182600
5/23/2019,42900
5/23/2019,325600
5/23/2019,68200
5/23/2019,168300
5/23/2019,188650
5/23/2019,141350
5/23/2019,44550
5/23/2019,34650
5/23/2019,142450
5/23/2019,222750
5/23/2019,97900
5/23/2019,150150
5/23/2019,210100
5/23/2019,228800
5/23/2019,91300
5/23/2019,89100
5/23/2019,19250
5/23/2019,155650
5/23/2019,60500
5/23/2019,9350
5/23/2019,126500
5/23/2019,52800
5/23/2019,103400
5/23/2019,216150
5/23/2019,39600
5/23/2019,89100
5/23/2019,210100
5/23/2019,97350
5/23/2019,107250
5/23/2019,311300
5/23/2019,69850
5/23/2019,161700
5/23/2019,55000
5/23/2019,354200
5/23/2019,99550
5/23/2019,118800
5/23/2019,136400
5/23/2019,204050
5/23/2019,161150
5/23/2019,39600
5/23/2019,214500
5/24/2019,29150
5/24/2019,70950
5/24/2019,129800
5/24/2019,58850
5/24/2019,210100
5/24/2019,204600
5/24/2019,41800
5/24/2019,31900
5/24/2019,22000
5/24/2019,179850
5/24/2019,45650
5/24/2019,77000
5/24/2019,299200
5/24/2019,300850
5/24/2019,253000
5/24/2019,57750
5/24/2019,215600
5/24/2019,85250
5/24/2019,107250
5/24/2019,202400
5/24/2019,74800
5/24/2019,165550
5/24/2019,51700
5/24/2019,111650
5/24/2019,261800
5/24/2019,143000
5/24/2019,66000
5/24/2019,68200
5/24/2019,74800
5/24/2019,13200
5/24/2019,106700
5/24/2019,194700
5/24/2019,11000
5/24/2019,114400
5/24/2019,156200
5/24/2019,9900
5/24/2019,66000
5/24/2019,43450
5/24/2019,147950
5/24/2019,338250
5/24/2019,49500
5/24/2019,42350
5/24/2019,68200
5/24/2019,158400
5/24/2019,25300
5/24/2019,63250
5/24/2019,79200
5/24/2019,143000
5/24/2019,84150
5/24/2019,69300
5/24/2019,148500
5/24/2019,34650
5/24/2019,106700
5/24/2019,51150
5/24/2019,19800
5/24/2019,29700
5/24/2019,61600
5/24/2019,281050
5/24/2019,122650
5/24/2019,52800
5/24/2019,13200
5/24/2019,131450
